id|id_proyecto|tarea|horas|precio
38|38|gravida. Aliquam tincidunt, nunc ac mattis ornare, lectus ante|1|81
39|39|non, egestas a, dui. Cras|6|27
40|40|lorem, luctus ut, pellentesque eget, dictum placerat, augue. Sed molestie.|10|25
41|41|magna. Duis dignissim tempor arcu. Vestibulum|10|15
42|42|tortor, dictum eu, placerat eget, venenatis a, magna. Lorem|2|13
43|43|dictum cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada|5|67
44|44|metus. In nec orci. Donec|10|85
45|45|ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor.|6|36
46|46|lacinia at, iaculis quis, pede. Praesent eu dui. Cum|1|74
47|47|id sapien. Cras dolor dolor, tempus non, lacinia at,|10|69
48|48|varius ultrices, mauris ipsum porta elit, a feugiat tellus lorem|9|16
49|49|a mi fringilla mi lacinia mattis. Integer|2|17
50|50|Proin nisl sem, consequat nec, mollis vitae, posuere|2|53
51|51|nascetur ridiculus mus. Proin vel nisl. Quisque|2|51
52|52|Nam interdum enim non nisi. Aenean eget metus.|3|23
53|53|erat neque non quam. Pellentesque habitant morbi tristique senectus et|5|58
54|54|amet, risus. Donec nibh enim, gravida sit|3|31
55|55|mollis nec, cursus a, enim.|9|12
56|56|Ut semper pretium neque. Morbi quis urna. Nunc quis arcu|2|43
57|57|amet diam eu dolor egestas rhoncus. Proin nisl|5|18
58|58|eros non enim commodo hendrerit. Donec porttitor|6|91
59|59|Aliquam nisl. Nulla eu neque|4|74
60|60|libero. Donec consectetuer mauris id sapien. Cras dolor dolor,|9|66
61|61|pharetra nibh. Aliquam ornare, libero at auctor|2|98
62|62|ligula. Nullam feugiat placerat velit. Quisque varius. Nam porttitor|3|95
63|63|Vivamus sit amet risus. Donec egestas. Aliquam nec|10|55
64|64|odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu.|9|39
65|65|Donec sollicitudin adipiscing ligula. Aenean gravida|5|82
66|66|Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.|7|99
67|67|sapien. Nunc pulvinar arcu et pede. Nunc sed orci|7|51
68|68|eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur egestas|1|24
69|69|nonummy. Fusce fermentum fermentum arcu. Vestibulum ante ipsum primis in|2|67
70|70|Proin vel arcu eu odio tristique pharetra. Quisque|6|21
71|71|luctus. Curabitur egestas nunc sed libero. Proin|7|31
72|72|rutrum urna, nec luctus felis purus ac tellus.|6|95
73|73|libero. Proin mi. Aliquam gravida mauris ut mi. Duis|8|74
74|74|facilisis non, bibendum sed, est. Nunc laoreet lectus quis massa.|7|68
75|75|ligula. Nullam feugiat placerat velit. Quisque varius.|1|23
76|76|vel, vulputate eu, odio. Phasellus at augue id ante dictum|4|79
77|77|neque sed dictum eleifend, nunc risus varius|4|10
78|78|sed, hendrerit a, arcu. Sed et libero. Proin mi.|2|27
79|79|Proin dolor. Nulla semper tellus id nunc interdum|5|22
80|80|ipsum dolor sit amet, consectetuer adipiscing|1|16
81|81|nonummy ultricies ornare, elit elit fermentum risus, at fringilla purus|8|93
82|82|scelerisque, lorem ipsum sodales purus, in|6|73
83|83|Aenean sed pede nec ante blandit viverra. Donec tempus, lorem|9|81
84|84|ipsum leo elementum sem, vitae aliquam eros turpis non enim.|6|31
85|85|porttitor vulputate, posuere vulputate, lacus. Cras interdum. Nunc|3|41
86|86|diam. Sed diam lorem, auctor quis, tristique ac, eleifend vitae,|6|48
87|87|gravida mauris ut mi. Duis|6|45
88|88|lacinia at, iaculis quis, pede. Praesent eu dui. Cum sociis|5|93
89|89|nec, mollis vitae, posuere at, velit. Cras|9|72
90|90|justo faucibus lectus, a sollicitudin orci sem eget massa.|4|62
91|91|posuere cubilia Curae; Phasellus ornare.|4|92
92|92|amet luctus vulputate, nisi sem semper erat,|2|97
93|93|lorem, auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi.|4|78
94|94|tempor erat neque non quam. Pellentesque habitant morbi tristique|2|88
95|95|cubilia Curae; Donec tincidunt. Donec vitae erat vel pede|3|80
96|96|semper pretium neque. Morbi quis urna. Nunc|7|85
97|97|ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus.|6|71
98|98|euismod et, commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur|3|11
99|99|in lobortis tellus justo sit|10|56
100|100|Phasellus dapibus quam quis diam. Pellentesque habitant morbi|5|42

